Date,Value
1/1/2013,1657.5
1/2/2013,1693.75
1/3/2013,1679.5
1/4/2013,1648
1/7/2013,1645.25
1/8/2013,1656
1/9/2013,1657.75
1/10/2013,1675
1/11/2013,1657.5
1/14/2013,1666.5
1/15/2013,1680.5
1/16/2013,1676.25
1/17/2013,1675
1/18/2013,1688.5
1/21/2013,1687.5
1/22/2013,1690.5
1/23/2013,1690.25
1/24/2013,1671
1/25/2013,1660
1/28/2013,1656.5
1/29/2013,1663.5
1/30/2013,1677.5
1/31/2013,1664.75
2/1/2013,1669
2/4/2013,1666
2/5/2013,1673.5
2/6/2013,1674.25
2/7/2013,1668
2/8/2013,1668.25
2/11/2013,1652
2/12/2013,1647.5
2/13/2013,1645
2/14/2013,1646
2/15/2013,1612.25
2/18/2013,1610.75
2/19/2013,1607.75
2/20/2013,1588.5
2/21/2013,1577
2/22/2013,1576.5
2/25/2013,1586.25
2/26/2013,1590.5
2/27/2013,1604.25
2/28/2013,1588.5
3/1/2013,1582.25
3/4/2013,1574.25
3/5/2013,1579.75
3/6/2013,1574
3/7/2013,1579.5
3/8/2013,1581.75
3/11/2013,1579
3/12/2013,1594
3/13/2013,1589.25
3/14/2013,1586
3/15/2013,1595.5
3/18/2013,1603.75
3/19/2013,1610.75
3/20/2013,1607.5
3/21/2013,1613.75
3/22/2013,1607.75
3/25/2013,1599.25
3/26/2013,1598
3/27/2013,1603
3/28/2013,1598.25
3/29/2013,1598.25
4/1/2013,1598.25
4/2/2013,1583.5
4/3/2013,1574.75
4/4/2013,1546.5
4/5/2013,1568
4/8/2013,1575
4/9/2013,1577.25
4/10/2013,1575
4/11/2013,1565
4/12/2013,1535.5
4/15/2013,1395
4/16/2013,1380
4/17/2013,1392
4/18/2013,1393.75
4/19/2013,1405.5
4/22/2013,1424.5
4/23/2013,1408
4/24/2013,1428.5
4/25/2013,1451
4/26/2013,1471.5
4/29/2013,1467.5
4/30/2013,1469
5/1/2013,1454.75
5/2/2013,1469.25
5/3/2013,1469.25
5/6/2013,1469.25
5/7/2013,1444.25
5/8/2013,1468
5/9/2013,1465.5
5/10/2013,1426.5
5/13/2013,1430.75
5/14/2013,1433.75
5/15/2013,1410
5/16/2013,1381
5/17/2013,1368.75
5/20/2013,1354.75
5/21/2013,1360.75
5/22/2013,1408.5
5/23/2013,1380.5
5/24/2013,1390.25
5/27/2013,1390.25
5/28/2013,1376.5
5/29/2013,1382.5
5/30/2013,1413.5
5/31/2013,1394.5
6/3/2013,1402.5
6/4/2013,1399.5
6/5/2013,1404
6/6/2013,1400
6/7/2013,1386
6/10/2013,1383.25
6/11/2013,1374.25
6/12/2013,1382.75
6/13/2013,1385
6/14/2013,1391.25
6/17/2013,1384.75
6/18/2013,1366.75
6/19/2013,1372.75
6/20/2013,1292.5
6/21/2013,1295.25
6/24/2013,1286.75
6/25/2013,1279
6/26/2013,1236.25
6/27/2013,1232.75
6/28/2013,1192
7/1/2013,1242.75
7/2/2013,1252.5
7/3/2013,1250
7/4/2013,1251.75
7/5/2013,1212.75
7/8/2013,1235.25
7/9/2013,1255.5
7/10/2013,1256
7/11/2013,1285
7/12/2013,1279.75
7/15/2013,1284.75
7/16/2013,1291.5
7/17/2013,1297.25
7/18/2013,1283.25
7/19/2013,1295.75
7/22/2013,1327
7/23/2013,1333.5
7/24/2013,1335
7/25/2013,1326
7/26/2013,1331
7/29/2013,1329.75
7/30/2013,1324.15
7/31/2013,1314.5
8/1/2013,1315
8/2/2013,1309.25
8/5/2013,1304.75
8/6/2013,1280.5
8/7/2013,1282.5
8/8/2013,1298.25
8/9/2013,1309
8/12/2013,1341
8/13/2013,1328.5
8/14/2013,1326.5
8/15/2013,1329.75
8/16/2013,1369.25
8/19/2013,1365
8/20/2013,1372.5
8/21/2013,1363
8/22/2013,1375.5
8/23/2013,1377.5
8/26/2013,1377.5
8/27/2013,1419.25
8/28/2013,1419.5
8/29/2013,1407.75
8/30/2013,1394.75
9/2/2013,1392.25
9/3/2013,1399.5
9/4/2013,1390
9/5/2013,1385
9/6/2013,1387
9/9/2013,1390
9/10/2013,1358.25
9/11/2013,1363.75
9/12/2013,1328
9/13/2013,1318.5
9/16/2013,1324
9/17/2013,1312.25
9/18/2013,1301
9/19/2013,1365.5
9/20/2013,1349.25
9/23/2013,1323
9/24/2013,1314.25
9/25/2013,1322.75
9/26/2013,1333
9/27/2013,1341
9/30/2013,1326.5
10/1/2013,1290.75
10/2/2013,1306.25
10/3/2013,1316
10/4/2013,1309.75
10/7/2013,1323.5
10/8/2013,1329.5
10/9/2013,1304
10/10/2013,1298.5
10/11/2013,1265.5
10/14/2013,1285.5
10/15/2013,1270.5
10/16/2013,1273.5
10/17/2013,1319.25
10/18/2013,1316.5
10/21/2013,1317.5
10/22/2013,1333
10/23/2013,1331.25
10/24/2013,1344.75
10/25/2013,1347.75
10/28/2013,1361
10/29/2013,1349.25
10/30/2013,1354.75
10/31/2013,1324
11/1/2013,1306.75
11/4/2013,1320.5
11/5/2013,1307.25
11/6/2013,1319
11/7/2013,1307.25
11/8/2013,1285.5
11/11/2013,1282.5
11/12/2013,1281.25
11/13/2013,1272.5
11/14/2013,1286
11/15/2013,1287.25
11/18/2013,1283.5
11/19/2013,1275.75
11/20/2013,1257
11/21/2013,1240
11/22/2013,1246.25
11/25/2013,1243
11/26/2013,1247.5
11/27/2013,1245
11/28/2013,1245.5
11/29/2013,1253
12/2/2013,1229.5
12/3/2013,1217.25
12/4/2013,1227.5
12/5/2013,1222.5
12/6/2013,1233
12/9/2013,1237
12/10/2013,1266.25
12/11/2013,1260.75
12/12/2013,1225.25
12/13/2013,1232
12/16/2013,1234.75
12/17/2013,1231.75
12/18/2013,1230.5
12/19/2013,1196
12/20/2013,1195.25
12/23/2013,1199
12/24/2013,1199
12/25/2013,1199
12/26/2013,1199
12/27/2013,1214.5
12/30/2013,1204.5
12/31/2013,1204.5
1/1/2014,1204.5
1/2/2014,1225
1/3/2014,1234.5
1/6/2014,1246.25
1/7/2014,1227.5
1/8/2014,1221
1/9/2014,1226
1/10/2014,1244.25
1/13/2014,1248
1/14/2014,1251.5
1/15/2014,1236
1/16/2014,1241.5
1/17/2014,1250
1/20/2014,1255.75
1/21/2014,1238
1/22/2014,1241
1/23/2014,1263
1/24/2014,1267
1/27/2014,1260.5
1/28/2014,1251.25
1/29/2014,1264
1/30/2014,1242.5
1/31/2014,1251
2/3/2014,1262
2/4/2014,1250.25
2/5/2014,1254.5
2/6/2014,1256.5
2/7/2014,1259.25
2/10/2014,1277
2/11/2014,1282
2/12/2014,1289.5
2/13/2014,1296
2/14/2014,1320
2/17/2014,1327.5
2/18/2014,1320.75
2/19/2014,1320.5
2/20/2014,1316.25
2/21/2014,1323.25
2/24/2014,1334.75
2/25/2014,1339
2/26/2014,1331.75
2/27/2014,1332.25
2/28/2014,1326.5
3/3/2014,1349.5
3/4/2014,1334.75
3/5/2014,1337
3/6/2014,1345.25
3/7/2014,1335.25
3/10/2014,1344
3/11/2014,1346.25
3/12/2014,1366
3/13/2014,1368.75
3/14/2014,1385
3/17/2014,1378.5
3/18/2014,1355.75
3/19/2014,1338
3/20/2014,1327
3/21/2014,1336
3/24/2014,1310.75
3/25/2014,1313.5
3/26/2014,1304
3/27/2014,1296
3/28/2014,1294.75
3/31/2014,1291.75
4/1/2014,1283.75
4/2/2014,1292
4/3/2014,1284
4/4/2014,1297.25
4/7/2014,1299
4/8/2014,1309.5
4/9/2014,1301.75
4/10/2014,1320.5
4/11/2014,1318
4/14/2014,1325.75
4/15/2014,1298
4/16/2014,1301.5
4/17/2014,1299
4/18/2014,1299
4/21/2014,1299
4/22/2014,1286.75
4/23/2014,1285.25
4/24/2014,1291.5
4/25/2014,1301.25
4/28/2014,1299
4/29/2014,1297.75
4/30/2014,1288.5
5/1/2014,1278.5
5/2/2014,1281.25
5/5/2014,1281.25
5/6/2014,1306.25
5/7/2014,1296
5/8/2014,1287
5/9/2014,1291.25
5/12/2014,1298.75
5/13/2014,1296.5
5/14/2014,1305.25
5/15/2014,1299
5/16/2014,1291.5
5/19/2014,1302
5/20/2014,1295.5
5/21/2014,1287.25
5/22/2014,1298.5
5/23/2014,1291.5
5/26/2014,1291.5
5/27/2014,1275.5
5/28/2014,1263.5
5/29/2014,1255
5/30/2014,1250.5
6/2/2014,1247.25
6/3/2014,1242.75
6/4/2014,1245.25
6/5/2014,1252.5
6/6/2014,1247.5
6/9/2014,1253.5
6/10/2014,1259.5
6/11/2014,1262
6/12/2014,1265.75
6/13/2014,1273
6/16/2014,1276.25
6/17/2014,1267.5
6/18/2014,1269.75
6/19/2014,1293
6/20/2014,1312.5
6/23/2014,1313.5
6/24/2014,1318.5
6/25/2014,1316.75
6/26/2014,1311.75
6/27/2014,1317.5
6/30/2014,1315
7/1/2014,1327.5
7/2/2014,1326.5
7/3/2014,1317.5
7/4/2014,1319.25
7/7/2014,1313
7/8/2014,1323
7/9/2014,1322.75
7/10/2014,1340.25
7/11/2014,1335
7/14/2014,1306
7/15/2014,1310
7/16/2014,1301
7/17/2014,1302.5
7/18/2014,1307.25
7/21/2014,1311.5
7/22/2014,1310.25
7/23/2014,1308
7/24/2014,1292.75
7/25/2014,1294.75
7/28/2014,1304.5
7/29/2014,1299.25
7/30/2014,1294.5
7/31/2014,1285.25
8/1/2014,1291.25
8/4/2014,1290.5
8/5/2014,1284.75
8/6/2014,1306.5
8/7/2014,1305.25
8/8/2014,1309.75
8/11/2014,1307.25
8/12/2014,1315.75
8/13/2014,1312
8/14/2014,1313.5
8/15/2014,1296
8/18/2014,1296.75
8/19/2014,1296.5
8/20/2014,1295
8/21/2014,1275.25
8/22/2014,1277.25
8/25/2014,1277.25
8/26/2014,1286
8/27/2014,1282.75
8/28/2014,1292
8/29/2014,1285.75
9/1/2014,1286.5
9/2/2014,1267
9/3/2014,1265.5
9/4/2014,1271.5
9/5/2014,1266
9/8/2014,1259
9/9/2014,1255.75
9/10/2014,1251
9/11/2014,1241.25
9/12/2014,1231.5
9/15/2014,1234.25
9/16/2014,1232.25
9/17/2014,1236
9/18/2014,1220.5
9/19/2014,1219.75
9/22/2014,1213.5
9/23/2014,1222
9/24/2014,1217.25
9/25/2014,1213.75
9/26/2014,1213.75
9/29/2014,1219.5
9/30/2014,1216.5
10/1/2014,1216.5
10/2/2014,1211.75
10/3/2014,1195
10/6/2014,1195.75
10/7/2014,1210.5
10/8/2014,1217
10/9/2014,1226.75
10/10/2014,1219
10/13/2014,1229
10/14/2014,1234.75
10/15/2014,1237.5
10/16/2014,1237.75
10/17/2014,1234.25
10/20/2014,1244.5
10/21/2014,1250.25
10/22/2014,1243.75
10/23/2014,1232.75
10/24/2014,1232.75
10/27/2014,1228.75
10/28/2014,1229.25
10/29/2014,1223.5
10/30/2014,1202
10/31/2014,1164.25
11/3/2014,1167.75
11/4/2014,1166.5
11/5/2014,1142
11/6/2014,1145
11/7/2014,1154.5
11/10/2014,1162
11/11/2014,1156.5
11/12/2014,1164.5
11/13/2014,1161.75
11/14/2014,1169
11/17/2014,1182.5
11/18/2014,1192.75
11/19/2014,1196
11/20/2014,1190
11/21/2014,1203.75
11/24/2014,1197.5
11/25/2014,1199
11/26/2014,1197.5
11/27/2014,1194.75
11/28/2014,1182.75
12/1/2014,1194
12/2/2014,1195
12/3/2014,1204.75
12/4/2014,1209
12/5/2014,1194
12/8/2014,1193
12/9/2014,1227
12/10/2014,1229
12/11/2014,1216.25
12/12/2014,1217
12/15/2014,1209.25
12/16/2014,1202.5
12/17/2014,1195.75
12/18/2014,1199
12/19/2014,1195.5
12/22/2014,1195.25
12/23/2014,1175.75
12/24/2014,1175.75
12/25/2014,1175.75
12/26/2014,1175.75
12/29/2014,1185.5
12/30/2014,1206
12/31/2014,1206
1/1/2015,1206
1/2/2015,1172
1/5/2015,1200
1/6/2015,1210.25
1/7/2015,1210.5
1/8/2015,1215.5
1/9/2015,1217.75
1/12/2015,1226.5
1/13/2015,1231.5
1/14/2015,1235
1/15/2015,1259
1/16/2015,1277.5
1/19/2015,1273.75
1/20/2015,1288.75
1/21/2015,1293.5
1/22/2015,1295.75
1/23/2015,1294.75
1/26/2015,1281.25
1/27/2015,1288.5
1/28/2015,1288
1/29/2015,1268.75
1/30/2015,1260.25
2/2/2015,1272.5
2/3/2015,1264.25
2/4/2015,1268.5
2/5/2015,1259.25
2/6/2015,1241
2/9/2015,1238.5
2/10/2015,1234.5
2/11/2015,1223.75
2/12/2015,1222.5
2/13/2015,1232.5
2/16/2015,1229.25
2/17/2015,1209.5
2/18/2015,1206
2/19/2015,1209.5
2/20/2015,1208.25
2/23/2015,1204.5
2/24/2015,1192.5
2/25/2015,1204.75
2/26/2015,1208.25
2/27/2015,1214
3/2/2015,1212.5
3/3/2015,1212.75
3/4/2015,1199.5
3/5/2015,1202
3/6/2015,1175.75
3/9/2015,1168.5
3/10/2015,1162
3/11/2015,1150
3/12/2015,1152.25
3/13/2015,1152
3/16/2015,1150.75
3/17/2015,1150.75
3/18/2015,1147.25
3/19/2015,1166
3/20/2015,1183.1
3/23/2015,1186.25
3/24/2015,1191.5
3/25/2015,1195.6
3/26/2015,1203.15
3/27/2015,1195.75
3/30/2015,1185.5
3/31/2015,1187
4/1/2015,1197
4/2/2015,1198.5
4/3/2015,1198.5
4/6/2015,1198.5
4/7/2015,1211
4/8/2015,1207.25
